Прилагательное	Словосочетание	Тип связи	MI	logDice	Attribute	Контекст
холодный	холодная еда	Свободное сочетание	3.798	3.88	Temperature	Мы были голодны и съели всю холодная еда, что была в холодильнике.
холодный	холодная ночь	Свободное сочетание	4.495	5.025	Temperature	Холодная ночь заставила нас плотнее закутаться в одеяла.
холодный	холодная ночь	Свободное сочетание	4.495	5.025	Temperature	После жаркого дня наступила холодная ночь.
холодный	холодный период	Свободное сочетание	5.463	6.33	Temperature	Зимой наступает холодный период, когда нужно отапливать дом.
холодный	холодный период	Свободное сочетание	5.463	6.33	Temperature	Этот холодный период года особенно опасен для растений.
холодный	холодный расчет	Коллокация	9.435	7.245	Emotion	В его действиях прослеживался только холодный расчет.
холодный	холодный расчет	Коллокация	9.435	7.245	Emotion	Иногда приходится принимать решения, полагаясь на холодный расчет.
холодный	холодный тон	Коллокация	7.276	7.003	Emotion	Он ответил холодный тон, давая понять, что разговор окончен.
холодный	холодный тон	Коллокация	7.276	7.003	Emotion	Её холодный тон неприятно поразил всех присутствующих.
черный	черный день	Коллокация	3.77	1.009	Evaluation	Нужно всегда откладывать деньги на черный день.
черный	черный день	Коллокация	3.77	1.009	Evaluation	Она берегла этот сервиз на черный день.
черный	черный мех	Свободное сочетание	8.624	5.465	Perception	Этот черный мех использовали для отделки воротника.
черный	черный мех	Свободное сочетание	8.624	5.465	Perception	У кошки был пушистый черный мех, блестевший на солнце.
черный	черный пес	Свободное сочетание	10.053	6.573	Perception	На поляне играл черный пес с мячиком.
черный	черный пес	Свободное сочетание	10.053	6.573	Perception	Огромный черный пес выскочил из ворот и залаял.
черный	черный список	Коллокация	8.538	5.74	Evaluation	Фирма занесла недобросовестного поставщика в черный список.
черный	черный список	Коллокация	8.538	5.74	Evaluation	Его номер телефона попал в черный список.
черный	черный экран	Свободное сочетание	6.915	4.076	Perception	Вдруг телефон погас, показав черный экран.
черный	черный экран	Свободное сочетание	6.915	4.076	Perception	Монитор не включался, и я видел только черный экран.
черный	черный юмор	Коллокация	9.131	5.949	Evaluation	Черный юмор — это способ защиты от стресса.
черный	черный юмор	Коллокация	9.131	5.949	Evaluation	Он любил черный юмор и часто шутил на грани фола.
широкий	широкая публика	Коллокация	8.764	8.083	Intensity	Его выступление не было предназначено для широкая публика.
широкий	широкая публика	Коллокация	8.764	8.083	Intensity	Книга была рассчитана на широкая публика.
широкий	широкие брюки	Свободное сочетание	6.098	4.799	Dimension	Сейчас в моде широкие брюки из легкой ткани.
широкий	широкие брюки	Свободное сочетание	6.098	4.799	Dimension	Широкие брюки скрывали недостатки фигуры.
широкий	широкие плечи	Свободное сочетание	6.125	6.479	Dimension	Широкие плечи атлета поражали окружающих.
широкий	широкие плечи	Свободное сочетание	6.125	6.479	Dimension	У него широкие плечи, поэтому пиджак сидит идеально.
широкий	широкий смысл	Коллокация	6.352	7.775	Intensity	В широкий смысл этого слова входит всё, что мы делаем.
широкий	широкий смысл	Коллокация	6.352	7.775	Intensity	Понимание термина в широкий смысл позволяет избежать ошибок.
широкий	широкий спектр	Коллокация	10.754	11.267	Intensity	Широкий спектр возможностей открылся перед ним.
широкий	широкий спектр	Коллокация	10.754	11.267	Intensity	Магазин предлагает широкий спектр услуг для клиентов.
широкий	широкое колесо	Свободное сочетание	3.832	4.134	Dimension	На внедорожник поставили широкое колесо для лучшей проходимости.
широкий	широкое колесо	Свободное сочетание	3.832	4.134	Dimension	Широкое колесо застряло в глубокой колее.
яркий	яркая лента	Свободное сочетание	4.331	4.614	Perception	Яркая лента в волосах привлекала всеобщее внимание.
яркий	яркая лента	Свободное сочетание	4.331	4.614	Perception	На подарок повязали длинная яркая лента.
яркий	яркая помада	Свободное сочетание	8.154	5.902	Perception	Она накрасила губы в яркая помада перед выходом.
яркий	яркая помада	Свободное сочетание	8.154	5.902	Perception	Яркая помада шла ей больше, чем любой другой макияж.
яркий	яркая эмоция	Коллокация	6.909	7.314	Intensity	Это была яркая эмоция, которую невозможно было скрыть.
яркий	яркая эмоция	Коллокация	6.909	7.314	Intensity	Любая яркая эмоция должна быть правильно выражена.
яркий	яркий огонь	Свободное сочетание	4.487	5.095	Perception	Мы смотрели на яркий огонь и молчали.
яркий	яркий огонь	Свободное сочетание	4.487	5.095	Perception	Яркий огонь в камине согревал комнату в холодный вечер.
яркий	яркий пример	Коллокация	7.217	8.648	Intensity	Его карьера — яркий пример успеха через труд.
яркий	яркий пример	Коллокация	7.217	8.648	Intensity	Этот случай — яркий пример того, как нельзя делать.
яркий	яркое впечатление	Коллокация	7.676	8.334	Intensity	Каждое шоу производило яркое впечатление на зрителей.
яркий	яркое впечатление	Коллокация	7.676	8.334	Intensity	Поездка в горы оставила у нас яркое впечатление.
